学籍番号,システム番号,学生ソート番号,設置区分コード,設置区分名,学生所属コード,学生所属名,学生氏名,学生氏名通称,学生WEB表示名,学生氏名カナ,学生氏名英字,学生性別コード,学生性別,学生生年月日,社会人フラグ,社会人状態,学生身分コード,学生身分名,学生種別コード,学生種別,現況区分コード,現況区分名,在籍フラグ,在籍状態,留学生区分コード,留学生区分,外国人フラグ,外国人状態,年次,クラスコード,クラス名,出席番号,セメスタフラグ,セメスタ対象状態,セメスタ数,要件年度,要件月,入学年月日,入学年度,入学時期フラグ,入学時期,再入学フラグ,再入学状態,再入学年月日,入学区分コード,入学区分名,入学年次,卒業見込フラグ,卒業見込状態,在学継続希望フラグ,在学継続希望状態,卒業見込年月日,離籍年月日,早期卒業フラグ,早期卒業状態,特記事項学籍情報,在学可能月数,休学可能月数,副学籍フラグ,副学籍状態,学生証発行回数,目標学位コード,目標学位名称,目標学位取得見込フラグ,目標学位取得見込状態,学位取得見込年月日,学位コード,学位名称,学位記番号,学位取得年月日,論文題目,論文題目（翻訳）,目標中間学位コード,目標中間学位名称,目標中間学位取得見込フラグ,目標中間学位取得見込状態,中間学位取得見込年月日,中間学位コード,中間学位名称,中間学位記番号,中間学位取得年月日,中間学位論文題目,中間学位論文題目（翻訳）,長期履修生フラグ,長期履修生状態,長期履修生修業年限,長期履修生在学年限,休学可能月数初期値,研究生受入期間開始,研究生受入期間終了,研究生担当教員コード,研究生担当教員名,研究生研究題目（和文）,研究生研究題目（英文）,副専攻コード,副専攻名,学生郵便番号,学生県コード,学生県名,学生住所1,学生住所2,学生住所3,学生住所,住居区分コード,住居区分名,学生電話番号,学生電話区分コード,学生電話区分名,学生その他電話番号,Ｅ－ＭＡＩＬ＿大学,Ｅ－ＭＡＩＬ,学生住所備考,出身県コード,出身県名,本籍コード,本籍名,国籍コード,国籍,在留資格コード,在留資格名,入国年月日,在留開始日,在留終了日,在留カード番号,資格外活動許可コード,資格外活動許可名,資格外活動許可期間開始,資格外活動許可期間終了,備考外国人情報,出身校名,出身校名２,出身校名３,入試試験年度,入試試験区分コード,入試試験区分名,受験番号,入試成績,高校時評点,成績通知不要フラグ,成績通知,成績通知不要届日
200010003,,,,,,,佐藤太郎1,佐藤太郎2,佐藤太郎3,佐藤太郎4,佐藤太郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010003@u.tsukuba.ac.jp,200010003@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010055,,,,,,,鈴木次郎1,鈴木次郎2,鈴木次郎3,鈴木次郎4,鈴木次郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010055@u.tsukuba.ac.jp,200010055@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010036,,,,,,,高橋三郎1,高橋三郎2,高橋三郎3,高橋三郎4,高橋三郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010036@u.tsukuba.ac.jp,200010036@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010025,,,,,,,田中四郎1,田中四郎2,田中四郎3,田中四郎4,田中四郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010025@u.tsukuba.ac.jp,200010025@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010054,,,,,,,渡辺五郎1,渡辺五郎2,渡辺五郎3,渡辺五郎4,渡辺五郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010054@u.tsukuba.ac.jp,200010054@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010015,,,,,,,伊藤六郎1,伊藤六郎2,伊藤六郎3,伊藤六郎4,伊藤六郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010015@u.tsukuba.ac.jp,200010015@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010010,,,,,,,山本七郎1,山本七郎2,山本七郎3,山本七郎4,山本七郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010010@u.tsukuba.ac.jp,200010010@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010079,,,,,,,中村八郎1,中村八郎2,中村八郎3,中村八郎4,中村八郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010079@u.tsukuba.ac.jp,200010079@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010044,,,,,,,小林九郎1,小林九郎2,小林九郎3,小林九郎4,小林九郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010044@u.tsukuba.ac.jp,200010044@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010064,,,,,,,加藤十郎1,加藤十郎2,加藤十郎3,加藤十郎4,加藤十郎5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s0010064@u.tsukuba.ac.jp,200010064@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
